PET_ID,NAME,AGE,SPECIES,BREED,GENDER,HEALTH_STATUS,WEIGHT,COAT_LENGTH,IMAGE_URL,DESCRIPTION,ADOPTION_CENTER_ID,STATUS,AVAILABLE
1,Darya,44,Dog,Rottweiler,Female,Poor,23,Long,,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,3,Verified,1
2,Seline,10,Dog,German Shepard,Female,Excellent,183,Short,,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1,Verified,1
3,Robinet,4,Dog,Dachshund,Male,Fair,94,Short,,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",5,Unverified,1
4,Tracey,33,Dog,Australian Shepard,Male,Poor,199,Medium,,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,1,Unverified,1
5,Staffard,16,Dog,Siberian Husky,Male,Excellent,194,Short,,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,5,Unverified,1
6,Nanon,6,Dog,Golden Retriever,Female,Good,161,Short,,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2,Verified,1
7,Charmain,21,Dog,German Shepard,Female,Poor,166,Long,,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,5,Unverified,1
8,Stephan,21,Cat,Bengal,Male,Poor,52,Short,,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",3,Unverified,1
9,Annetta,2,Cat,Bengal,Female,Excellent,168,Long,,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",5,Unverified,1
10,Bastien,23,Cat,British Shorthair,Male,Poor,47,Short,,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0,Verified,1
11,Aleksandr,15,Cat,Scottish Fold,Male,Excellent,96,Short,,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2,Verified,1
12,Ferguson,5,Dog,Golden Retriever,Male,Poor,98,Short,,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",0,Unverified,1
13,Averil,6,Cat,Bengal,Male,Good,155,Long,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1,Unverified,1
14,Sergio,3,Cat,British Shorthair,Male,Poor,26,Short,,Fusce consequat. Nulla nisl. Nunc nisl.,5,Unverified,1
15,Farleigh,16,Cat,British Shorthair,Male,Excellent,154,Long,,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",3,Unverified,1
16,Hallie,17,Cat,Ragdoll,Female,Good,133,Short,,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,4,Unverified,1
17,Dalenna,3,Cat,Persian,Female,Fair,159,Long,,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2,Verified,1
18,Nesta,36,Cat,British Shorthair,Female,Good,155,Long,,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0,Verified,1
